example_id                                     | status | run_time             |
---------------------------------------------- | ------ | -------------------- |
./spec/integration/find_pack_spec.rb[1:1:1]    | failed | 0.16467 seconds      |
./spec/integration/find_pack_spec.rb[1:2:1]    | failed | 0.16747 seconds      |
./spec/integration/find_sound_spec.rb[1:1:1]   | failed | 0.16549 seconds      |
./spec/integration/find_sound_spec.rb[1:1:2]   | failed | 0.18044 seconds      |
./spec/integration/find_sound_spec.rb[1:1:3]   | failed | 0.17572 seconds      |
./spec/integration/find_sound_spec.rb[1:2:1]   | failed | 0.17081 seconds      |
./spec/integration/find_user_spec.rb[1:1:1]    | failed | 0.17184 seconds      |
./spec/integration/find_user_spec.rb[1:2:1]    | failed | 0.19983 seconds      |
./spec/integration/pack_resources_spec.rb[1:1] | failed | 0.38184 seconds      |
./spec/integration/search_sound_spec.rb[1:1]   | passed | 1 minute 2.8 seconds |
./spec/integration/search_sound_spec.rb[1:2]   | passed | 0.00669 seconds      |
./spec/integration/user_resources_spec.rb[1:1] | failed | 0.17099 seconds      |
./spec/integration/user_resources_spec.rb[1:2] | failed | 0.20078 seconds      |
